,url_length,special_chars
874,71,11
1340,20,2
987,63,9
974,31,6
1307,88,20
744,108,19
107,23,2
1704,139,24
794,31,4
404,19,2
938,44,6
1571,35,3
939,38,5
659,64,8
1602,38,5
553,54,7
1612,48,4
904,36,7
550,50,8
1111,76,14
1609,108,20
165,20,2
379,17,1
210,64,11
1319,43,6
1575,15,2
999,79,12
932,47,8
1773,50,7
1732,31,5
531,36,6
429,21,3
1174,226,15
749,79,13
1747,38,5
1327,48,4
1633,35,5
460,37,6
12,30,4
1432,95,15
487,65,13
568,111,17
1122,32,4
1719,46,6
1310,40,4
657,45,7
1533,18,3
702,18,1
1281,22,1
540,23,3
1341,38,7
164,31,7
931,108,22
1789,137,23
343,18,2
1235,35,6
1342,176,31
1585,38,3
1337,45,11
211,33,4
573,35,5
1472,19,3
784,27,6
15,48,6
1099,53,4
493,84,28
1544,89,16
1232,42,5
1617,59,8
1141,83,10
332,75,9
786,32,3
291,60,8
212,99,33
365,68,14
471,15,1
514,64,9
682,26,4
377,39,4
1624,112,23
1316,18,3
439,86,15
1506,101,17
46,82,12
1768,36,8
1615,14,2
754,99,33
1154,34,5
1750,21,4
1424,19,3
898,43,5
840,23,3
527,97,13
1764,113,16
753,39,5
136,44,6
1731,19,2
150,72,11
1092,24,4
992,124,24
1050,12,2
787,89,16
877,38,5
713,28,4
396,103,20
771,20,4
1166,40,7
1025,54,8
425,41,8
1650,34,5
873,69,12
372,12,2
469,79,12
448,37,7
436,54,7
250,99,11
1755,82,15
119,25,2
196,47,6
1521,32,5
1401,84,12
417,94,15
346,24,4
1698,30,3
354,50,10
633,25,6
1280,11,2
1641,15,2
340,122,26
1207,74,10
574,45,10
1738,12,3
434,40,5
663,31,4
334,34,5
1259,35,5
311,57,7
345,58,8
103,41,7
82,31,4
1028,13,2
1308,59,12
10,62,8
546,96,12
911,25,3
687,20,2
374,37,3
244,65,12
1014,26,5
559,31,4
996,90,15
135,41,6
806,53,8
1389,67,9
482,42,6
1710,121,13
1621,31,4
1042,22,2
1713,170,45
303,59,9
979,127,23
986,31,4
1110,42,5
236,83,13
440,76,12
41,34,4
528,18,2
45,27,2
1108,46,9
1625,24,4
1020,37,6
761,64,9
1695,57,9
991,20,3
625,74,12
1021,33,6
197,54,7
1759,42,5
608,35,4
116,84,14
855,54,8
1105,19,2
924,69,8
619,33,5
490,38,5
455,54,4
1267,91,15
1038,53,7
1489,49,6
1643,66,9
371,72,24
459,87,14
908,41,5
1299,82,13
1282,71,11
3,88,18
336,83,17
745,71,8
640,25,1
1163,31,5
743,60,8
1219,31,4
1530,43,5
293,69,10
1100,22,2
1586,16,2
1455,127,18
510,74,11
246,27,3
383,77,11
969,71,9
1360,44,6
1349,29,4
1500,44,9
120,80,9
442,73,13
1398,22,3
1772,90,11
1182,30,4
1707,120,18
30,81,14
1178,38,7
1257,96,15
279,103,17
689,72,17
1679,44,5
664,23,1
1396,77,9
1228,53,9
1077,47,6
1318,47,8
723,98,14
815,34,3
