,url_length,mal,special_chars
676,32,0,4
677,45,0,8
678,22,0,2
679,102,1,17
680,73,1,11
681,16,0,2
682,26,0,4
683,75,0,12
684,24,0,4
685,23,0,3
686,104,1,23
687,20,1,2
688,32,0,4
689,72,1,17
690,65,0,9
691,32,0,4
692,24,0,4
693,45,1,9
694,70,1,14
695,104,0,15
696,71,0,11
697,47,1,6
698,38,0,6
699,25,0,4
700,127,1,20
701,67,0,8
702,18,1,1
703,58,0,9
704,19,0,2
705,41,0,6
706,87,1,15
707,78,0,10
708,43,0,5
709,38,0,6
710,64,1,11
711,35,0,4
712,108,1,16
713,28,0,4
714,16,1,1
715,51,0,8
716,12,1,2
717,27,0,3
718,17,0,2
719,38,0,3
720,25,0,5
721,119,0,21
722,54,0,8
723,98,0,14
724,87,0,16
725,19,0,3
726,87,0,13
727,65,0,7
728,23,0,2
729,36,0,5
730,31,0,4
731,52,0,9
732,104,0,15
733,45,0,4
734,57,0,9
735,90,0,15
736,26,0,2
737,42,0,5
738,39,1,2
739,53,0,6
740,35,1,6
741,75,0,12
742,43,0,5
743,60,0,8
744,108,0,19
745,71,0,8
746,24,1,2
747,56,0,7
748,59,0,8
749,79,0,13
750,86,1,14
751,41,0,7
752,15,1,1
753,39,0,5
754,99,1,33
755,15,0,2
756,25,0,5
757,29,0,3
758,34,0,5
759,89,0,15
760,60,0,10
761,64,0,9
762,139,1,25
763,70,1,11
764,95,0,13
765,23,1,2
766,68,1,14
767,37,1,6
768,25,0,3
769,41,0,6
770,30,0,3
771,20,0,4
772,15,0,2
773,35,0,5
774,25,0,4
775,78,0,11
776,9,0,2
777,38,0,5
778,56,0,6
779,120,0,19
780,28,0,3
781,134,1,19
782,104,0,23
783,69,1,13
784,27,0,6
785,289,0,82
786,32,0,3
787,89,0,16
788,81,0,6
789,108,0,16
790,65,0,6
791,88,1,11
792,33,0,5
793,44,1,7
794,31,0,4
795,27,0,5
796,37,0,7
797,107,0,25
798,33,0,6
799,72,0,12
800,22,0,4
801,39,1,8
802,97,1,15
803,122,0,18
804,16,0,2
805,76,1,12
806,53,0,8
807,12,0,3
808,54,1,8
809,30,0,4
810,93,0,13
811,22,0,4
812,61,0,7
813,53,1,11
814,49,1,9
815,34,0,3
816,39,0,5
817,59,0,8
818,95,0,16
819,20,0,2
820,92,0,12
821,22,0,2
822,109,0,23
823,49,0,6
824,51,0,7
825,28,0,6
826,57,0,8
827,102,1,17
828,31,0,4
829,89,1,16
830,22,0,4
831,32,0,5
832,14,1,2
833,12,1,1
834,24,0,4
835,49,0,7
836,139,0,19
837,30,0,3
838,51,0,7
839,101,0,15
840,23,0,3
841,18,0,2
842,67,0,10
843,41,0,7
844,49,0,7
845,51,1,9
846,49,1,4
847,62,1,10
848,99,1,33
849,15,0,3
850,39,0,5
851,17,0,2
852,84,0,12
853,198,1,19
854,54,1,10
855,54,0,8
856,16,1,3
857,152,1,24
858,170,1,31
859,67,1,9
860,59,0,8
861,38,0,5
862,137,0,19
863,47,1,10
864,90,1,30
865,41,0,6
866,114,0,10
867,73,1,12
868,94,0,13
869,34,0,5
870,33,0,4
871,31,0,4
872,71,0,9
873,69,0,12
874,71,0,11
875,83,0,10
876,19,0,2
877,38,0,5
878,29,0,4
879,224,1,17
880,27,0,5
881,26,0,2
882,35,0,7
883,46,0,8
884,18,0,2
885,39,0,6
886,44,1,9
887,278,1,16
888,39,0,6
889,25,0,2
890,56,0,8
891,120,1,14
892,13,1,2
893,91,1,16
894,15,0,2
895,57,0,8
896,93,1,16
897,54,0,6
898,43,0,5
899,18,0,2
900,61,0,7
901,16,0,3
902,89,0,14
903,84,0,19
904,36,1,7
905,48,0,6
906,12,0,2
907,96,1,19
908,41,0,5
909,77,1,16
910,44,0,8
911,25,0,3
912,36,0,5
913,27,0,4
914,52,0,5
915,72,0,11
916,77,1,9
917,52,0,8
918,49,0,8
919,86,1,10
920,53,0,9
921,111,0,25
922,33,0,5
923,62,0,8
924,69,0,8
925,66,0,10
926,81,1,27
927,32,1,6
928,117,0,11
929,30,0,4
930,22,0,3
931,108,1,22
932,47,0,8
933,46,0,5
934,95,0,18
935,40,0,5
936,37,0,4
937,80,1,13
938,44,0,6
939,38,0,5
940,47,0,7
941,60,1,14
942,141,1,25
943,75,1,15
944,21,0,4
945,93,0,14
946,71,1,9
947,72,0,9
948,70,0,11
949,32,0,4
950,51,0,7
951,44,0,7
952,39,0,5
953,68,0,10
954,103,0,17
955,40,1,7
956,89,1,17
957,81,1,27
958,50,0,5
959,118,1,12
960,171,0,24
961,104,0,17
962,40,0,8
963,31,0,5
964,109,0,19
965,25,1,6
966,20,0,2
967,16,0,2
968,33,0,5
969,71,0,9
970,51,0,7
971,93,1,12
972,169,1,28
973,104,0,15
974,31,0,6
975,18,1,2
976,25,1,3
977,31,0,4
978,25,0,3
979,127,1,23
980,29,0,4
981,109,0,23
982,44,0,10
983,31,0,4
984,24,0,4
985,123,1,23
986,31,0,4
987,63,0,9
988,120,1,11
989,21,1,1
990,33,0,4
991,20,0,3
992,124,0,24
993,14,0,2
994,61,1,12
995,38,0,5
996,90,0,15
997,46,1,8
998,22,0,3
